Table 58 — general summary of world production of gold1493 to 1927 (fine ounces),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period,World total,North America,United States,Canada,Mexico,Central America & West Indies,South America,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,British Guiana,Dutch Guiana,French Guiana,Peru,Uruguay,Venezuela,Europe,,Austria-Hungary,,Czekoslovakia,France,Germany,Great Britain,Greece,Italy,Norway,Portugal,Rumania,Russia (european),Serbia,Spain,Sweden,Turkey,Yugoslavia,Asia,British India,China,Chosen,British East Indies,Dutch East Indies,Indo-China,Japan,Philippine Islands,Asiatic Russia,Taiwan,Siam,Africa,Ethiopia (Abyssinia),Belgian Congo,British West Africa,Egypt,French West Africa,German East Africa,Madagascar,Portugese East Africa,Rhodesia,Sudan,Tanganyika,British Sout Africa,Transvaal,Union South Africa,Other Africa,Australasia,New Zealand,Australia,Various
1871,6391308,2274443,2104312,105187,64944,,302602,,64301,55299,12860,112528,,,,20094,11574,,25946,264666,,44850,,,,2646,,,,,,,217000,,,170,,,1046910,,,,,,,,,1046910,,,96452,,,32312,,,,,,,,,10,,,64130,2406235,671627,1734608,
1872,5798460,1896727,1741500,90283,64944,,313694,,64301,55299,12860,112528,,,,24370,11574,,32762,271549,,44850,,,,10529,,,,,,,216000,,,170,,,999587,,,,,,,,,999587,,,96452,,,25616,,,,,,,,,14,,,70822,2220451,409740,1810711,
1873,5503951,1880790,1741500,74346,64944,,331364,,64301,55299,12860,112528,,,,33180,11574,,41622,251147,,44850,,,,10127,,,,,,,196000,,,170,,,870408,,,,,,,,,870408,,,96452,,,18241,,,,,,,,,920,,,77291,2073790,464910,1608880,
1874,5359925,1782922,1620122,97856,64944,,365906,,64301,55299,12860,112528,,,,53627,11574,,55717,222751,,44850,,,,8346,385,,,,,,169000,,,170,,,899080,,,,,,,,,899080,,,96452,,,32062,,,,,,,,,14888,,,49552,1992814,346277,1646537,
1875,5340709,1814253,1619009,130300,64944,,395081,,64301,55299,12860,112528,,,,58997,11574,,79522,222511,,44850,,,,8912,579,,,,,,168000,,,170,,,883233,,,,,,,,,883233,,,96452,,,27605,,,,,,,,,11806,,,57041,1929179,326896,1602283,
1876,5429572,2077209,1931575,97729,47905,,363422,3794,21734,49512,8702,128603,,,965,54881,8681,,86550,258072,,61202,,,,6015,293,,5144,,,,185000,,,193,225,,903421,,,,,,,7159,,896262,,,96452,,,34288,,,,,,,,,13536,,,48678,1730996,296255,1434741,
1877,6001368,2411192,2268662,94304,48226,,444673,3794,21734,49512,8702,193515,,,5691,52020,8681,,101024,292774,,57871,,,,9902,143,,3504,,,,221000,,,129,225,,1108979,,,,,,,12860,,1096119,,,96452,,,28363,,,,,,,,,3238,,,64851,1647298,341950,1305348,
1878,5987207,2599755,2477109,74420,48226,,437176,3794,21734,49512,8703,193515,,,7909,55203,8681,,88125,337426,,58643,,,,10063,702,,3504,,,,264000,,,289,225,,1104721,,,,,,,14307,,1090414,,,96452,,,28823,,,,,,,,,2273,,,65356,1411677,285647,1126030,
1879,5415952,2006174,1881787,76547,47840,,443937,3794,21734,49512,6237,193515,,,13214,70056,8681,,78158,399123,,51377,,,,12474,447,,3504,,,,331000,,,96,225,,1072766,,,,,,,22570,,1050196,,,96452,,,27098,,,,,,,,,1546,,,67808,1397500,264467,1133033,
1880,5349158,1852461,1741500,63121,47840,,469305,3794,21734,49512,6237,193515,,,21863,60186,8681,,110052,366105,,52952,,,,11253,10,,3504,,,,298000,,,161,225,,1105766,,,,,,,22570,,1083196,,,96452,,,29642,,,,,,,,,11984,,,54826,1459069,280828,1178241,
1881,5064313,1783675,1678612,63524,41539,,437248,3794,3504,35880,6237,193515,,,15657,62790,5819,,110052,333043,,60025,,,,11253,4,,3504,,,,258000,,,32,225,,943570,,,,,,,22570,,921000,,,96452,,,22610,,,,,,,,,1875,,,71967,1470325,248916,1221409,
1882,4885626,1677775,1572187,60288,45300,,435996,3794,3504,35880,7877,186539,,,15014,52116,5755,,125517,303486,,50798,,,,12089,226,,3504,,,,236000,,,547,322,,949528,390,,,,,,30608,,918630,,,96452,,,26066,,,,,,,,,3599,,,66787,1422289,231108,1191181,
1883,4746890,1551336,1451250,53853,46233,,484384,3794,3504,30608,7877,186539,,,23888,60894,5787,,161493,296901,,52663,,,,14693,66,,9967,,,,218000,,,1190,322,,997020,750,259039,,,,,9356,,727875,,,103236,,,14565,,,,,,,,,21215,,,67456,1313513,228504,1085009,
1884,5014923,1598380,1489950,51202,57228,,559776,3794,3504,30608,16075,186539,,257,24306,62790,5787,,226116,332384,,53306,,,,17844,,,6269,,,,254000,,,643,322,,1115824,1135,300995,,,,,9517,,804177,,,40188,,,18385,,,,,,,,,5491,2376,,13936,1368371,211550,1156821,
1885,5102414,1636162,1588373,55575,41925,289,496607,3794,3504,38709,16075,120931,,932,23984,53209,7266,2067,226116,434444,,57035,,,,44304,3,,6269,,,,325000,,,1511,322,,1140753,6527,224959,,,,,8520,,900747,,,66970,,,24994,,,,,,,,,24860,1414,,15702,1327478,218381,1109097,
1886,4944835,1791489,1686788,70782,29707,4212,440144,965,3504,48290,16075,120951,,6527,22891,51345,5466,2733,161397,372021,,57035,I,,,34241,,,6269,,,,272000,,,2154,322,,993293,20384,176572,55171,,4790,,15818,,720558,,,69542,,,20799,,,,,,,,,24083,8171,,16489,1278346,208913,1069433,
1887,5255917,1707185,1603049,57003,39867,7266,453773,1447,4598,31636,76487,145128,,11896,22891,57389,5080,2056,95166,438074,,60347,I,,,72371,64,,6269,,,,296000,,,2701,322,,1242028,15465,459563,67163,,5723,,18133,,675981,,,92851,,,22546,,,,,,,,,15764,39880,,14661,1322006,187559,1134447,
1888,5508562,1712633,1604478,53788,47101,7266,435858,1511,2894,21541,94941,145128,,14468,15657,65330,5080,827,68481,453724,,58514,€,,,57614,7073,,4758,,,,323000,,,2443,322,,1265922,32729,435385,66456,,4373,,19483,,707496,,,258779,,,24030,,,,,,,,,7000,227749,,,1381646,185121,1196525,
1889,6048352,1698558,1594775,62662,33855,7266,454452,3955,2894,21541,69510,165930,,27103,21863,44882,4501,3376,88897,480121,,70667,fe,,12860,62951,3119,,4823,,,,323000,,,2379,322,,1414137,72693,435385,47519,,,,25078,,833462,,,400491,,,40841,,,,8391,,,,,350,350909,,,1600593,186954,1413639,
1890,5814182,1713815,1588877,80570,37102,7266,479818,3955,3247,21541,69510,174128,,54431,21477,42921,3344,4501,80763,443297,,67645,o,,5948,59640,129,,6784,,,,300000,,,2829,322,,1252302,96742,257945,36266,,1993,,24563,,834793,,,482957,,,34138,,,,8391,,,,,276,440152,,,1441993,177738,1264255,
1891,6300223,1706147,1604840,45011,48387,7909,509075,3955,3247,41507,69510,167955,2540,87064,26235,48290,3537,6848,48387,482783,,167709,,,6559,75844,3247,,4565,,,,321000,,,3537,322,,1344858,120694,321797,26878,,3022,,24595,,847872,,,738398,,,41444,,,,8391,,,,,124,688439,,,1518962,251996,1266966,
1892,7060290,1703537,1597098,43905,54625,7909,562499,3967,3241,107368,29209,167958,2515,11896,34530,48288,3531,6850,38995,532987,,72659,,,6274,100987,2477,,4421,,,,343000,,,2830,339,,1482366,160523,407608,29330,,3151,,24754,,857000,,,1126459,,,48951,,,,8391,,,,,59,1069058,,,1652442,238079,1414303,
1893,7543737,1855229,1739323,44853,63144,7909,546840,6782,3241,107368,22466,139939,2515,124198,34240,56715,3531,6850,38995,536161,,81047,,,8964,74106,2046,,5660,,,,361000,,,2990,339,,1558376,184483,333444,28440,,4373,,23414,,984222,,,1320695,,,21972,,,,8391,,,,,114,1290218,,,1726436,226811,1499625,
1894,8657113,2201672,1910813,50411,217688,22760,548717,4596,3241,57566,22466,139939,3309,111751,31482,126026,3599,745,43997,492243,,87423,,,,103566,3183,,5660,,,,289000,,,3024,387,,1543591,187835,413937,22600,13471,,,23694,,878453,,,1850711,,,21472,,,,23341,,,,,898,1805000,,,2020170,199380,1820799,
1895,9518192,2660210,2254760,92440,290250,22760,550584,15238,3241,46498,68092,139939,6429,107039,25426,90263,3086,1316,43997,541795,,96218,,,,107542,5176,,6063,,,,324000,,,2504,256,,1546858,225244,170328,33824,15111,1993,,25015,,1073767,,,2051627,,,25415,,,,8391,,,,,878,2017443,,,2167118,264142,1902976,
1896,9716749,3036851,2568132,136274,314437,18008,503649,15238,12110,48426,29559,106438,6429,107059,23309,101945,5639,1625,45882,440784,,104137,,,,55104,1188,,6782,,896,,268000,643,,3681,353,,1549565,296565,389836,34915,21217,2311,,30927,,773794,,,2068237,,,23940,,9183,,8391,,,,,1203,2025510,,,2117673,237350,1880323,
1897,11396952,3454864,2774935,294582,362812,22535,500007,6661,16617,58251,16482,107740,6429,100945,29127,74299,30380,1925,51151,491587,,108147,,,,66424,1698,,9404,,501,,300000,643,,4083,687,,1593130,350585,296463,49350,33206,5630,,33385,,824511,,,2809660,,,23555,,4950,,19322,,18085,,,230,2743518,,,2547704,230782,2316922,
1898,13920747,4222672,3118398,669445,411187,23642,539966,6661,16204,76613,43229,104426,1911,99105,27532,79547,30380,1664,52694,424937,,89954,,,,3561,321,,8027,32,227,,318000,,96,4044,675,,1678814,376431,260871,56511,25625,5689,,37336,,913940,,2411,3916714,,,17733,,6848,,3150,,65472,,,144,3823367,,,3137644,254416,2883228,
1899,15073419,4908315,3437210,1031563,411187,28355,547534,6661,7249,103983,62810,89231,2317,98712,23196,81691,41634,1331,28710,365890,,94037,,,64,3589,2844,,3633,484,54,,257000,,96,3414,675,,1648842,418869,269662,70579,20562,5689,,45653,,815417,,2411,3765667,31154,,14250,,6000,,11050,,65298,,,192,3637713,,,3837181,356222,3480959,
1900,12420942,5638180,3829897,1348720,435375,24189,550827,2112,5786,134260,78735,57804,5203,98487,22439,76468,52498,1492,15538,348053,,103615,,,32,3192,13360,,1704,129,83,,222000,,418,2845,675,,1803227,456444,269662,217687,27643,21043,,58127,,752621,,,525149,31154,,12034,,6334,,33468,1318,91951,,,139,348761,,,3555506,339395,3216111,
1901,12692227,5501217,3805500,1167216,497527,30974,580922,1451,5786,134260,51626,135513,5321,85701,19621,96750,27825,1530,15538,372916,,103363,,,,2893,5626,,257,129,63,,256000,965,418,2017,1185,,2012782,454527,439801,145125,41685,24042,,58127,,849475,,,505310,31154,,5208,,6334,,30800,1500,172071,,,,,258243,,3719080,412875,3306205,
1902,14494382,5490159,3870000,1032161,491156,96842,623502,1451,48,101584,32262,122031,9675,87491,15577,117077,112525,2796,20985,392111,,105037,,,,3023,3737,,257,97,63,,274000,900,494,3023,1480,,2055289,463824,422824,145125,49686,22930,,95597,,816116,39610,,1986947,31154,,22795,2705,4758,,88838,1993,165705,,,,,1718999,,3946374,458933,3487441,
1903,15934268,5078358,3560000,911118,516524,90716,531248,1451,142,110314,30812,131795,13272,77948,18183,101658,28669,4291,14513,404531,,108609,,,225,3412,4547,,1291,129,63,,283000,354,262,1640,999,,2276233,552873,354334,145125,65055,68189,,139861,,908678,39610,2508,3328360,31154,140,59961,3482,5505,,55139,2000,198081,,,,,2972898,,4315538,479489,3836049,
1904,16902209,5359223,3892480,796374,609781,60588,499708,445,1659,98854,30812,95513,6430,77828,21362,87384,64300,1209,14512,419711,,102423,,,,3130,17405,,2128,354,193,,288000,2733,,1945,1400,,2166792,567094,217688,145125,71851,68427,,142634,,911857,39610,2506,4211031,32408,129,90987,5750,5433,129,72436,2000,228206,,,,,3773553,,4245744,467891,3777853,
1905,18488085,5824913,4265742,706778,779181,73212,518108,265,912,98906,45886,125001,9117,81789,30597,89955,24968,2419,8293,401483,,118876,,,7813,3227,5450,,2128,,129,,259000,2797,,1775,289,,2079511,578089,217688,125436,67299,68426,,148625,,819384,50091,2351,5507378,3665,4501,153906,10138,6382,129,67517,2139,349254,,,,,4909747,,4156692,492954,3663738,
1906,19533892,6136037,4565333,581657,896615,92432,517122,268,838,116243,36667,105982,14233,77770,33338,89923,40102,1535,1223,399878,,126519,,,24305,3890,1414,,1993,,932,,237000,2893,,643,280,,1936854,584744,217688,110438,70079,60706,1415,132979,,706142,50091,2572,6558317,3665,8006,210041,5216,6302,386,62147,2283,467086,,,,,5793185,,3985684,534603,3451081,
1907,20039853,6782878,4371639,405517,903699,102023,571206,4985,228,97750,61085,157401,12923,63000,30961,114202,24890,2510,1032,466504,,120209,,,40413,3220,1414,,1914,,322,,295000,2893,,903,216,,2186165,502307,217688,105013,75525,100614,1540,134146,3130,995854,42310,8038,7372189,3665,14789,273898,4916,4180,386,82306,2560,525343,,,,,6460146,,3660911,477310,3183601,
1908,21483983,6264933,4560548,476112,1082210,146063,570139,7801,1141,106259,38195,165797,16945,68116,32071,10307,24890,4433,1184,593652,,119454,,,55505,3134,772,,2251,,1833,,407000,2893,,702,108,,2443332,512702,418312,147423,67770,125596,3174,160680,13763,950027,28035,15850,8064717,514,6623,281257,1843,4276,225,101243,3440,596428,,,,,7068868,,3547210,471973,3075237,
1909,22093602,6544217,4809694,453865,1153400,127258,561749,9186,1369,108983,40767,153823,13273,57697,30041,103708,24890,4433,13576,501986,,93946,,,67754,3348,1041,,1168,,802,,326000,7273,140,491,23,,2720430,501097,452406,96440,69510,103832,3174,174966,11978,1240443,50734,15850,8330213,514,21252,230494,2900,6044,2820,118861,3858,624303,4501,,,,7314657,,3435007,472455,2962552,
1910,22146716,6573606,4949496,493707,1205051,225352,566669,8372,1061,94557,40767,163022,12054,57697,38344,107835,22055,4433,16472,563126,,105101,,,82580,3042,1914,,1430,66,133,,359000,9742,,95,23,,2759116,518502,176960,212808,69988,163852,2655,188839,7471,1362163,53145,2733,8517059,21187,23695,183691,4452,418,9902,104008,6302,609964,4147,,,,7549293,,3167140,446445,2720695,
1911,22466812,6516944,4677508,472241,1203573,163622,624105,13979,1061,185496,35752,153241,13389,43149,25320,107835,23813,3422,17648,475604,,105705,,,87659,3779,1914,,2165,,115,,260000,14149,,95,23,,2630186,534744,160344,139774,64791,163852,3600,109239,9448,1295333,56328,2733,9308563,11703,29354,253977,5068,1768,12057,91630,2990,628521,,,,,8271495,,2911410,427379,2484031,
1912,22670332,6442054,4498388,611885,1185187,146594,648426,5193,2508,172728,35398,143757,19665,42560,19702,147571,23813,5369,30162,407425,,98840,,,87659,3779,1344,,534,,113,,202000,12149,,984,23,,2249101,534822,176999,137993,65402,163852,3600,216092,22331,871875,53402,2733,10286432,11703,26685,352461,4958,2540,6237,68160,2411,688226,,,,,9123051,,2636894,310962,2325932,
1913,22306558,6134279,4265530,802973,934065,131711,595080,128,3007,109072,36874,143757,19665,65475,22757,147571,23813,1444,21517,457447,,105425,,,102912,6558,864,,832,,113,,224000,15867,,853,23,,2495476,589109,176999,173306,79063,163852,3600,174846,34204,1058357,39406,2733,10054966,24052,44334,384836,4602,2979,12249,60769,5699,690541,14868,,,,8810037,,2569311,343595,2225716,
1914,21319747,5640374,4519662,773178,231628,115908,640509,,5789,103513,34622,226327,16779,54495,24351,94805,49446,739,29644,314344,,9711,,,67725,5000,979,,1555,,113,,221000,5611,,2627,23,,2608042,550432,176999,160115,75020,154761,3212,226364,5179,1161867,46092,,9815326,,49787,406576,6136,2100,,56553,15263,854481,19156,,,,8405274,,2301152,227954,2073198,
1915,22718154,6202754,4823672,918056,317305,143721,729861,,5735,117286,33662,263796,26397,44693,21723,94805,53691,573,67500,371408,,67360,,,67725,5000,932,,111,,32,,229000,,,1225,23,,2467157,557399,135677,180897,60005,106963,2112,260551,63898,1044362,55293,,10577174,,49787,401733,7010,2100,,66823,12922,915029,19167,,,,9102603,,2369800,422825,1946975,
1916,22035302,5878507,4405779,930495,372040,170193,750228,740,198,139804,29852,298662,27090,31902,21198,77400,61310,581,61431,287713,,48375,,,48375,5000,276,,97,,,,185000,,,590,,,2352700,542115,149996,199421,56862,125160,3173,250854,73249,903437,48433,,10808137,,112012,380232,6289,1514,,46682,11218,930358,18351,,,,9301481,,1958017,282317,1675700,
1917,20297144,5306719,3981482,738831,435375,151031,673603,223,242,143093,37041,241875,42947,25107,21527,69587,60667,484,30810,211652,,7256,,,33862,4774,242,,84,,,,165000,,,484,,,2071363,523069,174155,162724,55988,98622,2419,226380,69953,705750,52303,,10369796,,102734,368168,3188,1500,,26742,12026,834232,,,,,9021211,,1664011,199803,1464208,
1918,18568278,4936431,3258375,699681,813895,164480,684000,193,242,135450,37007,290250,38700,24546,18851,57741,57645,484,22891,151045,,8708,,,24187,6247,,316,1103,,,,110000,,,484,,,1768894,485236,174150,159637,53864,88836,2419,246998,62404,470500,24850,,9537354,9675,117733,314860,2856,1500,,23887,11997,631358,3666,,,,8419822,,1490554,208651,1281900,
1919,17667308,4562265,2877509,766764,758354,159638,643244,193,242,96750,37007,290251,38700,16216,15932,53212,65232,484,29025,143363,,,,6076,7293,3890,,225,739,,,23551,101102,,,482,,,1691916,507260,159637,135450,69419,92592,1835,233405,41119,431013,20186,,9324676,17284,108442,225226,1948,3990,,22505,9675,593446,7883,,,,8338698,579,1301844,222063,1079781,
1920,16335420,4064933,2414410,766913,738485,145125,638584,4837,242,125775,43538,280575,36281,9675,12506,43538,62757,21,18839,52544,,,,8761,900,4437,32,514,725,,,22730,11000,,5,225,,3215,1219041,499068,125000,76000,58231,90920,160,248181,61756,46225,13500,,9264540,14104,96804,230948,128,4838,,16686,7256,553067,3569,,,,8336561,579,1095778,124375,971408,
1921,16003616,4093201,2361301,926329,684634,120937,690513,3628,290,134482,45139,290250,36259,12828,11285,48375,77385,339,30253,73010,,161,,11413,96,4180,,482,77,,,41409,11000,,141,64,,3987,1171052,432723,100000,130893,54665,94163,160,237106,60705,32177,28455,,9072549,30000,65715,203606,,8584,,14660,6015,586908,4157,321,,,8133583,19000,903291,135720,767571,
1922,15467223,4421859,2289235,1263364,748323,120937,719500,3628,407,146668,79823,275737,42456,10877,11992,48772,81436,338,17361,112796,,546,,8294,16075,5433,,418,720,,,42984,29000,,904,82,1446,6944,1267457,438015,100000,127892,45127,104294,4822,233809,73840,117700,24958,,8033879,20000,68351,213395,225,11188,,18582,11734,655296,8126,376,,,7026542,64,911732,144117,767615,
1923,17802109,4528509,2426490,1223601,781663,96755,734812,3870,407,144675,64397,275738,42456,8170,12731,44624,120372,11,17361,139877,,739,,3344,16943,6430,,418,1221,,,48225,54000,,904,67,1446,6140,1341688,422307,89500,121433,39225,115547,6205,247276,81564,196673,24958,,10167967,20000,91306,200565,482,17480,,16686,10513,649686,8318,1326,,,9152200,,889256,164408,724848,
1924,19033459,4856616,2446328,1525380,797223,87085,568230,2903,964,144675,67725,96750,38700,6337,10352,63496,118955,12,17361,327251,,1961,,9002,19804,6430,,386,1543,,,42149,236000,,967,265,932,7812,1857635,396349,107300,134128,40005,124888,349,244500,79893,722070,8653,,10624361,20000,118119,233910,934,13117,,10802,5321,628974,8088,7863,,,9577233,,799966,122341,677625,
1925,19025942,4941398,2319833,1735735,788993,96837,500360,2661,386,108506,61216,76550,43537,9107,9902,40220,117733,,30542,254695,,1865,,7587,33950,5851,,,1929,,,40027,154000,,967,,932,7587,1071594,393807,107300,146825,39043,132715,349,317231,94135,831154,9035,,10582495,20000,122781,199697,354,9774,,13503,12292,582754,8466,8898,,,9603197,779,675400,111202,564198,
1926,19349118,4852580,2238616,1754228,772661,87075,508195,2419,332,102108,59132,71658,62486,6516,7526,45235,120241,,30542,244712,"1,26",1318,"0,01",7716,42010,5208,,,1704,,,55652,104000,,967,14789,964,10384,2130627,383970,110000,190620,34068,115354,321,307862,91242,888155,9035,,10960833,20000,132201,199666,643,9966,,9870,594208,594208,8714,7202,,,,,,,,
1927,19397757,4759535,2117253,1844544,725175,72563,491787,967,241,100000,60000,72563,62242,5714,7684,48354,92656,,39366,261570,"1,35",129,,7500,45010,5000,,482,2154,,,66165,106000,,967,14789,964,12410,2169223,384268,100000,190000,30299,113071,321,308000,79314,954950,9000,,11071619,21605,125417,171607,64,6848,,10352,581788,581788,7166,8179,,,,,,,,
