year,state,production_oz
1795,Alabama,NA
1795,Alaska,NA
1795,Arizona,NA
1795,California,NA
1795,Colorado,NA
1795,Georgia,NA
1795,Idaho,NA
1795,Maryland,NA
1795,Michigan,NA
1795,Montana,NA
1795,Nevada,NA
1795,New Mexico,NA
1795,North Carolina,NA
1795,Oregon,NA
1795,Pennsylvania,NA
1795,South Carolina,NA
1795,South Dakota,NA
1795,Tennessee,NA
1795,Texas,NA
1795,Utah,NA
1795,Vermont,NA
1795,Virginia,NA
1795,Washington,NA
1795,Wyoming,NA
1796,Alabama,NA
1796,Alaska,NA
1796,Arizona,NA
1796,California,NA
1796,Colorado,NA
1796,Georgia,NA
1796,Idaho,NA
1796,Maryland,NA
1796,Michigan,NA
1796,Montana,NA
1796,Nevada,NA
1796,New Mexico,NA
1796,North Carolina,NA
1796,Oregon,NA
1796,Pennsylvania,NA
1796,South Carolina,NA
1796,South Dakota,NA
1796,Tennessee,NA
1796,Texas,NA
1796,Utah,NA
1796,Vermont,NA
1796,Virginia,NA
1796,Washington,NA
1796,Wyoming,NA
1797,Alabama,NA
1797,Alaska,NA
1797,Arizona,NA
1797,California,NA
1797,Colorado,NA
1797,Georgia,NA
1797,Idaho,NA
1797,Maryland,NA
1797,Michigan,NA
1797,Montana,NA
1797,Nevada,NA
1797,New Mexico,NA
1797,North Carolina,NA
1797,Oregon,NA
1797,Pennsylvania,NA
1797,South Carolina,NA
1797,South Dakota,NA
1797,Tennessee,NA
1797,Texas,NA
1797,Utah,NA
1797,Vermont,NA
1797,Virginia,NA
1797,Washington,NA
1797,Wyoming,NA
1798,Alabama,NA
1798,Alaska,NA
1798,Arizona,NA
1798,California,NA
1798,Colorado,NA
1798,Georgia,NA
1798,Idaho,NA
1798,Maryland,NA
1798,Michigan,NA
1798,Montana,NA
1798,Nevada,NA
1798,New Mexico,NA
1798,North Carolina,NA
1798,Oregon,NA
1798,Pennsylvania,NA
1798,South Carolina,NA
1798,South Dakota,NA
1798,Tennessee,NA
1798,Texas,NA
1798,Utah,NA
1798,Vermont,NA
1798,Virginia,NA
1798,Washington,NA
1798,Wyoming,NA
1799,Alabama,NA
1799,Alaska,NA
1799,Arizona,NA
1799,California,NA
1799,Colorado,NA
1799,Georgia,NA
1799,Idaho,NA
1799,Maryland,NA
1799,Michigan,NA
1799,Montana,NA
1799,Nevada,NA
1799,New Mexico,NA
1799,North Carolina,NA
1799,Oregon,NA
1799,Pennsylvania,NA
1799,South Carolina,NA
1799,South Dakota,NA
1799,Tennessee,NA
1799,Texas,NA
1799,Utah,NA
1799,Vermont,NA
1799,Virginia,NA
1799,Washington,NA
1799,Wyoming,NA
1800,Alabama,NA
1800,Alaska,NA
1800,Arizona,NA
1800,California,NA
1800,Colorado,NA
1800,Georgia,NA
1800,Idaho,NA
1800,Maryland,NA
1800,Michigan,NA
1800,Montana,NA
1800,Nevada,NA
1800,New Mexico,NA
1800,North Carolina,NA
1800,Oregon,NA
1800,Pennsylvania,NA
1800,South Carolina,NA
1800,South Dakota,NA
1800,Tennessee,NA
1800,Texas,NA
1800,Utah,NA
1800,Vermont,NA
1800,Virginia,NA
1800,Washington,NA
1800,Wyoming,NA
1801,Alabama,NA
1801,Alaska,NA
1801,Arizona,NA
1801,California,NA
1801,Colorado,NA
1801,Georgia,NA
1801,Idaho,NA
1801,Maryland,NA
1801,Michigan,NA
1801,Montana,NA
1801,Nevada,NA
1801,New Mexico,NA
1801,North Carolina,NA
1801,Oregon,NA
1801,Pennsylvania,NA
1801,South Carolina,NA
1801,South Dakota,NA
1801,Tennessee,NA
1801,Texas,NA
1801,Utah,NA
1801,Vermont,NA
1801,Virginia,NA
1801,Washington,NA
1801,Wyoming,NA
1802,Alabama,NA
1802,Alaska,NA
1802,Arizona,NA
1802,California,NA
1802,Colorado,NA
1802,Georgia,NA
1802,Idaho,NA
1802,Maryland,NA
1802,Michigan,NA
1802,Montana,NA
1802,Nevada,NA
1802,New Mexico,NA
1802,North Carolina,NA
1802,Oregon,NA
1802,Pennsylvania,NA
1802,South Carolina,NA
1802,South Dakota,NA
1802,Tennessee,NA
1802,Texas,NA
1802,Utah,NA
1802,Vermont,NA
1802,Virginia,NA
1802,Washington,NA
1802,Wyoming,NA
1803,Alabama,NA
1803,Alaska,NA
1803,Arizona,NA
1803,California,NA
1803,Colorado,NA
1803,Georgia,NA
1803,Idaho,NA
1803,Maryland,NA
1803,Michigan,NA
1803,Montana,NA
1803,Nevada,NA
1803,New Mexico,NA
1803,North Carolina,NA
1803,Oregon,NA
1803,Pennsylvania,NA
1803,South Carolina,NA
1803,South Dakota,NA
1803,Tennessee,NA
1803,Texas,NA
1803,Utah,NA
1803,Vermont,NA
1803,Virginia,NA
1803,Washington,NA
1803,Wyoming,NA
1804,Alabama,NA
1804,Alaska,NA
1804,Arizona,NA
1804,California,NA
1804,Colorado,NA
1804,Georgia,NA
1804,Idaho,NA
1804,Maryland,NA
1804,Michigan,NA
1804,Montana,NA
1804,Nevada,NA
1804,New Mexico,NA
1804,North Carolina,114
1804,Oregon,NA
1804,Pennsylvania,NA
1804,South Carolina,NA
1804,South Dakota,NA
1804,Tennessee,NA
1804,Texas,NA
1804,Utah,NA
1804,Vermont,NA
1804,Virginia,NA
1804,Washington,NA
1804,Wyoming,NA
1805,Alabama,NA
1805,Alaska,NA
1805,Arizona,NA
1805,California,NA
1805,Colorado,NA
1805,Georgia,NA
1805,Idaho,NA
1805,Maryland,NA
1805,Michigan,NA
1805,Montana,NA
1805,Nevada,NA
1805,New Mexico,NA
1805,North Carolina,114
1805,Oregon,NA
1805,Pennsylvania,NA
1805,South Carolina,NA
1805,South Dakota,NA
1805,Tennessee,NA
1805,Texas,NA
1805,Utah,NA
1805,Vermont,NA
1805,Virginia,NA
1805,Washington,NA
1805,Wyoming,NA
1806,Alabama,NA
1806,Alaska,NA
1806,Arizona,NA
1806,California,NA
1806,Colorado,NA
1806,Georgia,NA
1806,Idaho,NA
1806,Maryland,NA
1806,Michigan,NA
1806,Montana,NA
1806,Nevada,NA
1806,New Mexico,NA
1806,North Carolina,114
1806,Oregon,NA
1806,Pennsylvania,NA
1806,South Carolina,NA
1806,South Dakota,NA
1806,Tennessee,NA
1806,Texas,NA
1806,Utah,NA
1806,Vermont,NA
1806,Virginia,NA
1806,Washington,NA
1806,Wyoming,NA
1807,Alabama,NA
1807,Alaska,NA
1807,Arizona,NA
1807,California,NA
1807,Colorado,NA
1807,Georgia,NA
1807,Idaho,NA
1807,Maryland,NA
1807,Michigan,NA
1807,Montana,NA
1807,Nevada,NA
1807,New Mexico,NA
1807,North Carolina,114
1807,Oregon,NA
1807,Pennsylvania,NA
1807,South Carolina,NA
1807,South Dakota,NA
1807,Tennessee,NA
1807,Texas,NA
1807,Utah,NA
1807,Vermont,NA
1807,Virginia,NA
1807,Washington,NA
1807,Wyoming,NA
1808,Alabama,NA
1808,Alaska,NA
1808,Arizona,NA
1808,California,NA
1808,Colorado,NA
1808,Georgia,NA
1808,Idaho,NA
1808,Maryland,NA
1808,Michigan,NA
1808,Montana,NA
1808,Nevada,NA
1808,New Mexico,NA
1808,North Carolina,114
1808,Oregon,NA
1808,Pennsylvania,NA
1808,South Carolina,NA
1808,South Dakota,NA
1808,Tennessee,NA
1808,Texas,NA
1808,Utah,NA
1808,Vermont,NA
1808,Virginia,NA
1808,Washington,NA
1808,Wyoming,NA
1809,Alabama,NA
1809,Alaska,NA
1809,Arizona,NA
1809,California,NA
1809,Colorado,NA
1809,Georgia,NA
1809,Idaho,NA
1809,Maryland,NA
1809,Michigan,NA
1809,Montana,NA
1809,Nevada,NA
1809,New Mexico,NA
1809,North Carolina,114
1809,Oregon,NA
1809,Pennsylvania,NA
1809,South Carolina,NA
1809,South Dakota,NA
1809,Tennessee,NA
1809,Texas,NA
1809,Utah,NA
1809,Vermont,NA
1809,Virginia,NA
1809,Washington,NA
1809,Wyoming,NA
1810,Alabama,NA
1810,Alaska,NA
1810,Arizona,NA
1810,California,NA
1810,Colorado,NA
1810,Georgia,NA
1810,Idaho,NA
1810,Maryland,NA
1810,Michigan,NA
1810,Montana,NA
1810,Nevada,NA
1810,New Mexico,NA
1810,North Carolina,114
1810,Oregon,NA
1810,Pennsylvania,NA
1810,South Carolina,NA
1810,South Dakota,NA
1810,Tennessee,NA
1810,Texas,NA
1810,Utah,NA
1810,Vermont,NA
1810,Virginia,NA
1810,Washington,NA
1810,Wyoming,NA
1811,Alabama,NA
1811,Alaska,NA
1811,Arizona,NA
1811,California,NA
1811,Colorado,NA
1811,Georgia,NA
1811,Idaho,NA
1811,Maryland,NA
1811,Michigan,NA
1811,Montana,NA
1811,Nevada,NA
1811,New Mexico,NA
1811,North Carolina,114
1811,Oregon,NA
1811,Pennsylvania,NA
1811,South Carolina,NA
1811,South Dakota,NA
1811,Tennessee,NA
1811,Texas,NA
1811,Utah,NA
1811,Vermont,NA
1811,Virginia,NA
1811,Washington,NA
1811,Wyoming,NA
1812,Alabama,NA
1812,Alaska,NA
1812,Arizona,NA
1812,California,NA
1812,Colorado,NA
1812,Georgia,NA
1812,Idaho,NA
1812,Maryland,NA
1812,Michigan,NA
1812,Montana,NA
1812,Nevada,NA
1812,New Mexico,NA
1812,North Carolina,114
1812,Oregon,NA
1812,Pennsylvania,NA
1812,South Carolina,NA
1812,South Dakota,NA
1812,Tennessee,NA
1812,Texas,NA
1812,Utah,NA
1812,Vermont,NA
1812,Virginia,NA
1812,Washington,NA
1812,Wyoming,NA
1813,Alabama,NA
1813,Alaska,NA
1813,Arizona,NA
1813,California,NA
1813,Colorado,NA
1813,Georgia,NA
1813,Idaho,NA
1813,Maryland,NA
1813,Michigan,NA
1813,Montana,NA
1813,Nevada,NA
1813,New Mexico,NA
1813,North Carolina,114
1813,Oregon,NA
1813,Pennsylvania,NA
1813,South Carolina,NA
1813,South Dakota,NA
1813,Tennessee,NA
1813,Texas,NA
1813,Utah,NA
1813,Vermont,NA
1813,Virginia,NA
1813,Washington,NA
1813,Wyoming,NA
1814,Alabama,NA
1814,Alaska,NA
1814,Arizona,NA
1814,California,NA
1814,Colorado,NA
1814,Georgia,NA
1814,Idaho,NA
1814,Maryland,NA
1814,Michigan,NA
1814,Montana,NA
1814,Nevada,NA
1814,New Mexico,NA
1814,North Carolina,114
1814,Oregon,NA
1814,Pennsylvania,NA
1814,South Carolina,NA
1814,South Dakota,NA
1814,Tennessee,NA
1814,Texas,NA
1814,Utah,NA
1814,Vermont,NA
1814,Virginia,NA
1814,Washington,NA
1814,Wyoming,NA
1815,Alabama,NA
1815,Alaska,NA
1815,Arizona,NA
1815,California,NA
1815,Colorado,NA
1815,Georgia,NA
1815,Idaho,NA
1815,Maryland,NA
1815,Michigan,NA
1815,Montana,NA
1815,Nevada,NA
1815,New Mexico,NA
1815,North Carolina,114
1815,Oregon,NA
1815,Pennsylvania,NA
1815,South Carolina,NA
1815,South Dakota,NA
1815,Tennessee,NA
1815,Texas,NA
1815,Utah,NA
1815,Vermont,NA
1815,Virginia,NA
1815,Washington,NA
1815,Wyoming,NA
1816,Alabama,NA
1816,Alaska,NA
1816,Arizona,NA
1816,California,NA
1816,Colorado,NA
1816,Georgia,NA
1816,Idaho,NA
1816,Maryland,NA
1816,Michigan,NA
1816,Montana,NA
1816,Nevada,NA
1816,New Mexico,NA
1816,North Carolina,114
1816,Oregon,NA
1816,Pennsylvania,NA
1816,South Carolina,NA
1816,South Dakota,NA
1816,Tennessee,NA
1816,Texas,NA
1816,Utah,NA
1816,Vermont,NA
1816,Virginia,NA
1816,Washington,NA
1816,Wyoming,NA
1817,Alabama,NA
1817,Alaska,NA
1817,Arizona,NA
1817,California,NA
1817,Colorado,NA
1817,Georgia,NA
1817,Idaho,NA
1817,Maryland,NA
1817,Michigan,NA
1817,Montana,NA
1817,Nevada,NA
1817,New Mexico,NA
1817,North Carolina,114
1817,Oregon,NA
1817,Pennsylvania,NA
1817,South Carolina,NA
1817,South Dakota,NA
1817,Tennessee,NA
1817,Texas,NA
1817,Utah,NA
1817,Vermont,NA
1817,Virginia,NA
1817,Washington,NA
1817,Wyoming,NA
1818,Alabama,NA
1818,Alaska,NA
1818,Arizona,NA
1818,California,NA
1818,Colorado,NA
1818,Georgia,NA
1818,Idaho,NA
1818,Maryland,NA
1818,Michigan,NA
1818,Montana,NA
1818,Nevada,NA
1818,New Mexico,NA
1818,North Carolina,114
1818,Oregon,NA
1818,Pennsylvania,NA
1818,South Carolina,NA
1818,South Dakota,NA
1818,Tennessee,NA
1818,Texas,NA
1818,Utah,NA
1818,Vermont,NA
1818,Virginia,NA
1818,Washington,NA
1818,Wyoming,NA
1819,Alabama,NA
1819,Alaska,NA
1819,Arizona,NA
1819,California,NA
1819,Colorado,NA
1819,Georgia,NA
1819,Idaho,NA
1819,Maryland,NA
1819,Michigan,NA
1819,Montana,NA
1819,Nevada,NA
1819,New Mexico,NA
1819,North Carolina,114
1819,Oregon,NA
1819,Pennsylvania,NA
1819,South Carolina,NA
1819,South Dakota,NA
1819,Tennessee,NA
1819,Texas,NA
1819,Utah,NA
1819,Vermont,NA
1819,Virginia,NA
1819,Washington,NA
1819,Wyoming,NA
1820,Alabama,NA
1820,Alaska,NA
1820,Arizona,NA
1820,California,NA
1820,Colorado,NA
1820,Georgia,NA
1820,Idaho,NA
1820,Maryland,NA
1820,Michigan,NA
1820,Montana,NA
1820,Nevada,NA
1820,New Mexico,NA
1820,North Carolina,114
1820,Oregon,NA
1820,Pennsylvania,NA
1820,South Carolina,NA
1820,South Dakota,NA
1820,Tennessee,NA
1820,Texas,NA
1820,Utah,NA
1820,Vermont,NA
1820,Virginia,NA
1820,Washington,NA
1820,Wyoming,NA
1821,Alabama,NA
1821,Alaska,NA
1821,Arizona,NA
1821,California,NA
1821,Colorado,NA
1821,Georgia,NA
1821,Idaho,NA
1821,Maryland,NA
1821,Michigan,NA
1821,Montana,NA
1821,Nevada,NA
1821,New Mexico,NA
1821,North Carolina,114
1821,Oregon,NA
1821,Pennsylvania,NA
1821,South Carolina,NA
1821,South Dakota,NA
1821,Tennessee,NA
1821,Texas,NA
1821,Utah,NA
1821,Vermont,NA
1821,Virginia,NA
1821,Washington,NA
1821,Wyoming,NA
1822,Alabama,NA
