year,state,production_oz
1822,Alaska,NA
1822,Arizona,NA
1822,California,NA
1822,Colorado,NA
1822,Georgia,NA
1822,Idaho,NA
1822,Maryland,NA
1822,Michigan,NA
1822,Montana,NA
1822,Nevada,NA
1822,New Mexico,NA
1822,North Carolina,114
1822,Oregon,NA
1822,Pennsylvania,NA
1822,South Carolina,NA
1822,South Dakota,NA
1822,Tennessee,NA
1822,Texas,NA
1822,Utah,NA
1822,Vermont,NA
1822,Virginia,NA
1822,Washington,NA
1822,Wyoming,NA
1823,Alabama,NA
1823,Alaska,NA
1823,Arizona,NA
1823,California,NA
1823,Colorado,NA
1823,Georgia,NA
1823,Idaho,NA
1823,Maryland,NA
1823,Michigan,NA
1823,Montana,NA
1823,Nevada,NA
1823,New Mexico,NA
1823,North Carolina,114
1823,Oregon,NA
1823,Pennsylvania,NA
1823,South Carolina,NA
1823,South Dakota,NA
1823,Tennessee,NA
1823,Texas,NA
1823,Utah,NA
1823,Vermont,NA
1823,Virginia,NA
1823,Washington,NA
1823,Wyoming,NA
1824,Alabama,NA
1824,Alaska,NA
1824,Arizona,NA
1824,California,NA
1824,Colorado,NA
1824,Georgia,NA
1824,Idaho,NA
1824,Maryland,NA
1824,Michigan,NA
1824,Montana,NA
1824,Nevada,NA
1824,New Mexico,NA
1824,North Carolina,242
1824,Oregon,NA
1824,Pennsylvania,NA
1824,South Carolina,NA
1824,South Dakota,NA
1824,Tennessee,NA
1824,Texas,NA
1824,Utah,NA
1824,Vermont,NA
1824,Virginia,NA
1824,Washington,NA
1824,Wyoming,NA
1825,Alabama,NA
1825,Alaska,NA
1825,Arizona,NA
1825,California,NA
1825,Colorado,NA
1825,Georgia,NA
1825,Idaho,NA
1825,Maryland,NA
1825,Michigan,NA
1825,Montana,NA
1825,Nevada,NA
1825,New Mexico,NA
1825,North Carolina,822
1825,Oregon,NA
1825,Pennsylvania,NA
1825,South Carolina,NA
1825,South Dakota,NA
1825,Tennessee,NA
1825,Texas,NA
1825,Utah,NA
1825,Vermont,NA
1825,Virginia,NA
1825,Washington,NA
1825,Wyoming,NA
1826,Alabama,NA
1826,Alaska,NA
1826,Arizona,NA
1826,California,NA
1826,Colorado,NA
1826,Georgia,NA
1826,Idaho,NA
1826,Maryland,NA
1826,Michigan,NA
1826,Montana,NA
1826,Nevada,NA
1826,New Mexico,NA
1826,North Carolina,968
1826,Oregon,NA
1826,Pennsylvania,NA
1826,South Carolina,NA
1826,South Dakota,NA
1826,Tennessee,NA
1826,Texas,NA
1826,Utah,NA
1826,Vermont,NA
1826,Virginia,NA
1826,Washington,NA
1826,Wyoming,NA
1827,Alabama,NA
1827,Alaska,NA
1827,Arizona,NA
1827,California,NA
1827,Colorado,NA
1827,Georgia,NA
1827,Idaho,NA
1827,Maryland,NA
1827,Michigan,NA
1827,Montana,NA
1827,Nevada,NA
1827,New Mexico,NA
1827,North Carolina,1016
1827,Oregon,NA
1827,Pennsylvania,NA
1827,South Carolina,NA
1827,South Dakota,NA
1827,Tennessee,NA
1827,Texas,NA
1827,Utah,NA
1827,Vermont,NA
1827,Virginia,NA
1827,Washington,NA
1827,Wyoming,NA
1828,Alabama,NA
1828,Alaska,NA
1828,Arizona,NA
1828,California,NA
1828,Colorado,NA
1828,Georgia,NA
1828,Idaho,NA
1828,Maryland,NA
1828,Michigan,NA
1828,Montana,NA
1828,Nevada,NA
1828,New Mexico,NA
1828,North Carolina,2225
1828,Oregon,NA
1828,Pennsylvania,NA
1828,South Carolina,NA
1828,South Dakota,NA
1828,Tennessee,NA
1828,Texas,NA
1828,Utah,NA
1828,Vermont,NA
1828,Virginia,NA
1828,Washington,NA
1828,Wyoming,NA
1829,Alabama,NA
1829,Alaska,NA
1829,Arizona,NA
1829,California,NA
1829,Colorado,NA
1829,Georgia,NA
1829,Idaho,NA
1829,Maryland,NA
1829,Michigan,NA
1829,Montana,NA
1829,Nevada,NA
1829,New Mexico,NA
1829,North Carolina,6483
1829,Oregon,NA
1829,Pennsylvania,NA
1829,South Carolina,169
1829,South Dakota,NA
1829,Tennessee,NA
1829,Texas,NA
1829,Utah,NA
1829,Vermont,NA
1829,Virginia,NA
1829,Washington,121
1829,Wyoming,NA
1830,Alabama,NA
1830,Alaska,NA
1830,Arizona,NA
1830,California,NA
1830,Colorado,NA
1830,Georgia,10256
1830,Idaho,NA
1830,Maryland,NA
1830,Michigan,NA
1830,Montana,NA
1830,Nevada,NA
1830,New Mexico,NA
1830,North Carolina,9869
1830,Oregon,NA
1830,Pennsylvania,NA
1830,South Carolina,1258
1830,South Dakota,NA
1830,Tennessee,NA
1830,Texas,NA
1830,Utah,NA
1830,Vermont,NA
1830,Virginia,NA
1830,Washington,1161
1830,Wyoming,NA
1831,Alabama,31
1831,Alaska,NA
1831,Arizona,NA
1831,California,NA
1831,Colorado,NA
1831,Georgia,8515
1831,Idaho,NA
1831,Maryland,NA
1831,Michigan,NA
1831,Montana,NA
1831,Nevada,NA
1831,New Mexico,NA
1831,North Carolina,14224
1831,Oregon,NA
1831,Pennsylvania,NA
1831,South Carolina,1064
1831,South Dakota,NA
1831,Tennessee,48
1831,Texas,NA
1831,Utah,NA
1831,Vermont,NA
1831,Virginia,NA
1831,Washington,1258
1831,Wyoming,NA
1832,Alabama,NA
1832,Alaska,NA
1832,Arizona,NA
1832,California,NA
1832,Colorado,NA
1832,Georgia,6773
1832,Idaho,NA
1832,Maryland,NA
1832,Michigan,NA
1832,Montana,NA
1832,Nevada,NA
1832,New Mexico,NA
1832,North Carolina,22158
1832,Oregon,NA
1832,Pennsylvania,NA
1832,South Carolina,2177
1832,South Dakota,NA
1832,Tennessee,48
1832,Texas,NA
1832,Utah,NA
1832,Vermont,NA
1832,Virginia,NA
1832,Washington,1645
1832,Wyoming,NA
1833,Alabama,NA
1833,Alaska,NA
1833,Arizona,NA
1833,California,NA
1833,Colorado,NA
1833,Georgia,1045
1833,Idaho,NA
1833,Maryland,NA
1833,Michigan,NA
1833,Montana,NA
1833,Nevada,NA
1833,New Mexico,NA
1833,North Carolina,22980
1833,Oregon,NA
1833,Pennsylvania,NA
1833,South Carolina,3193
1833,South Dakota,NA
1833,Tennessee,339
1833,Texas,NA
1833,Utah,NA
1833,Vermont,NA
1833,Virginia,NA
1833,Washington,5031
1833,Wyoming,NA
1834,Alabama,NA
1834,Alaska,NA
1834,Arizona,NA
1834,California,NA
1834,Colorado,NA
1834,Georgia,20077
1834,Idaho,NA
1834,Maryland,NA
1834,Michigan,NA
1834,Montana,NA
1834,Nevada,NA
1834,New Mexico,NA
1834,North Carolina,18384
1834,Oregon,NA
1834,Pennsylvania,NA
1834,South Carolina,1838
1834,South Dakota,NA
1834,Tennessee,145
1834,Texas,NA
1834,Utah,NA
1834,Vermont,NA
1834,Virginia,NA
1834,Washington,3000
1834,Wyoming,NA
1835,Alabama,NA
1835,Alaska,NA
1835,Arizona,NA
1835,California,NA
1835,Colorado,NA
1835,Georgia,15477
1835,Idaho,NA
1835,Maryland,NA
1835,Michigan,NA
1835,Montana,NA
1835,Nevada,NA
1835,New Mexico,NA
1835,North Carolina,12724
1835,Oregon,NA
1835,Pennsylvania,NA
1835,South Carolina,2051
1835,South Dakota,NA
1835,Tennessee,5
1835,Texas,NA
1835,Utah,NA
1835,Vermont,NA
1835,Virginia,NA
1835,Washington,2922
1835,Wyoming,NA
1836,Alabama,NA
1836,Alaska,NA
1836,Arizona,NA
1836,California,NA
1836,Colorado,NA
1836,Georgia,9744
1836,Idaho,NA
1836,Maryland,NA
1836,Michigan,NA
1836,Montana,NA
1836,Nevada,NA
1836,New Mexico,NA
1836,North Carolina,7165
1836,Oregon,NA
1836,Pennsylvania,NA
1836,South Carolina,2671
1836,South Dakota,NA
1836,Tennessee,15
1836,Texas,NA
1836,Utah,NA
1836,Vermont,NA
1836,Virginia,NA
1836,Washington,3000
1836,Wyoming,NA
1837,Alabama,NA
1837,Alaska,NA
1837,Arizona,NA
1837,California,NA
1837,Colorado,NA
1837,Georgia,4045
1837,Idaho,NA
1837,Maryland,NA
1837,Michigan,NA
1837,Montana,NA
1837,Nevada,NA
1837,New Mexico,NA
1837,North Carolina,5656
1837,Oregon,NA
1837,Pennsylvania,NA
1837,South Carolina,1422
1837,South Dakota,NA
1837,Tennessee,NA
1837,Texas,NA
1837,Utah,NA
1837,Vermont,NA
1837,Virginia,NA
1837,Washington,2521
1837,Wyoming,NA
1838,Alabama,526
1838,Alaska,NA
1838,Arizona,NA
1838,California,NA
1838,Colorado,NA
1838,Georgia,16331
1838,Idaho,NA
1838,Maryland,NA
1838,Michigan,NA
1838,Montana,NA
1838,Nevada,NA
1838,New Mexico,NA
1838,North Carolina,14023
1838,Oregon,NA
1838,Pennsylvania,NA
1838,South Carolina,1959
1838,South Dakota,NA
1838,Tennessee,73
1838,Texas,NA
1838,Utah,NA
1838,Vermont,NA
1838,Virginia,NA
1838,Washington,2661
1838,Wyoming,NA
1839,Alabama,526
1839,Alaska,NA
1839,Arizona,NA
1839,California,NA
1839,Colorado,NA
1839,Georgia,15572
1839,Idaho,NA
1839,Maryland,NA
1839,Michigan,NA
1839,Montana,NA
1839,Nevada,NA
1839,New Mexico,NA
1839,North Carolina,14023
1839,Oregon,NA
1839,Pennsylvania,NA
1839,South Carolina,1959
1839,South Dakota,NA
1839,Tennessee,15
1839,Texas,NA
1839,Utah,NA
1839,Vermont,NA
1839,Virginia,NA
1839,Washington,2787
1839,Wyoming,NA
1840,Alabama,2962
1840,Alaska,NA
1840,Arizona,NA
1840,California,NA
1840,Colorado,NA
1840,Georgia,18998
1840,Idaho,NA
1840,Maryland,NA
1840,Michigan,NA
1840,Montana,NA
1840,Nevada,NA
1840,New Mexico,NA
1840,North Carolina,14023
1840,Oregon,NA
1840,Pennsylvania,NA
1840,South Carolina,1959
1840,South Dakota,NA
1840,Tennessee,5
1840,Texas,NA
1840,Utah,NA
1840,Vermont,NA
1840,Virginia,NA
1840,Washington,1887
1840,Wyoming,NA
1841,Alabama,617
1841,Alaska,NA
1841,Arizona,NA
1841,California,NA
1841,Colorado,NA
1841,Georgia,21353
1841,Idaho,NA
1841,Maryland,NA
1841,Michigan,NA
1841,Montana,NA
1841,Nevada,NA
1841,New Mexico,NA
1841,North Carolina,14023
1841,Oregon,NA
1841,Pennsylvania,NA
1841,South Carolina,1959
1841,South Dakota,NA
1841,Tennessee,59
1841,Texas,NA
1841,Utah,NA
1841,Vermont,NA
1841,Virginia,NA
1841,Washington,1245
1841,Wyoming,NA
1842,Alabama,796
1842,Alaska,NA
1842,Arizona,NA
1842,California,NA
1842,Colorado,NA
1842,Georgia,21860
1842,Idaho,NA
1842,Maryland,NA
1842,Michigan,NA
1842,Montana,NA
1842,Nevada,NA
1842,New Mexico,NA
1842,North Carolina,14023
1842,Oregon,NA
1842,Pennsylvania,NA
1842,South Carolina,1959
1842,South Dakota,NA
1842,Tennessee,1557
1842,Texas,NA
1842,Utah,NA
1842,Vermont,NA
1842,Virginia,NA
1842,Washington,2040
1842,Wyoming,NA
1843,Alabama,3788
1843,Alaska,NA
1843,Arizona,NA
1843,California,NA
1843,Colorado,NA
1843,Georgia,17329
1843,Idaho,NA
1843,Maryland,NA
1843,Michigan,NA
1843,Montana,NA
1843,Nevada,NA
1843,New Mexico,NA
1843,North Carolina,14023
1843,Oregon,NA
1843,Pennsylvania,NA
1843,South Carolina,1959
1843,South Dakota,NA
1843,Tennessee,135
1843,Texas,NA
1843,Utah,NA
1843,Vermont,NA
1843,Virginia,NA
1843,Washington,2329
1843,Wyoming,NA
1844,Alabama,4121
1844,Alaska,NA
1844,Arizona,NA
1844,California,NA
1844,Colorado,NA
1844,Georgia,16077
1844,Idaho,NA
1844,Maryland,NA
1844,Michigan,NA
1844,Montana,NA
1844,Nevada,NA
1844,New Mexico,NA
1844,North Carolina,14023
1844,Oregon,NA
1844,Pennsylvania,NA
1844,South Carolina,1959
1844,South Dakota,NA
1844,Tennessee,108
1844,Texas,NA
1844,Utah,NA
1844,Vermont,NA
1844,Virginia,NA
1844,Washington,1964
1844,Wyoming,NA
1845,Alabama,840
1845,Alaska,NA
1845,Arizona,NA
1845,California,NA
1845,Colorado,NA
1845,Georgia,15428
1845,Idaho,NA
1845,Maryland,NA
1845,Michigan,NA
1845,Montana,NA
1845,Nevada,NA
1845,New Mexico,NA
1845,North Carolina,14023
1845,Oregon,NA
1845,Pennsylvania,NA
1845,South Carolina,1959
1845,South Dakota,NA
1845,Tennessee,155
1845,Texas,NA
1845,Utah,NA
1845,Vermont,NA
1845,Virginia,NA
1845,Washington,4199
1845,Wyoming,NA
1846,Alabama,991
1846,Alaska,NA
1846,Arizona,NA
1846,California,NA
1846,Colorado,NA
1846,Georgia,15248
1846,Idaho,NA
1846,Maryland,NA
1846,Michigan,NA
1846,Montana,NA
1846,Nevada,NA
1846,New Mexico,NA
1846,North Carolina,14023
1846,Oregon,NA
1846,Pennsylvania,NA
1846,South Carolina,1959
1846,South Dakota,NA
1846,Tennessee,128
1846,Texas,NA
1846,Utah,NA
1846,Vermont,NA
1846,Virginia,NA
1846,Washington,2687
1846,Wyoming,NA
1847,Alabama,526
1847,Alaska,NA
1847,Arizona,NA
1847,California,NA
1847,Colorado,NA
1847,Georgia,15100
1847,Idaho,NA
1847,Maryland,NA
1847,Michigan,NA
1847,Montana,NA
1847,Nevada,NA
1847,New Mexico,NA
1847,North Carolina,14023
1847,Oregon,NA
1847,Pennsylvania,NA
1847,South Carolina,1959
1847,South Dakota,NA
1847,Tennessee,86
1847,Texas,NA
1847,Utah,NA
1847,Vermont,NA
1847,Virginia,NA
1847,Washington,3277
1847,Wyoming,NA
1848,Alabama,700
1848,Alaska,NA
1848,Arizona,NA
1848,California,11866
1848,Colorado,NA
1848,Georgia,12436
1848,Idaho,NA
1848,Maryland,NA
1848,Michigan,NA
1848,Montana,NA
1848,Nevada,NA
1848,New Mexico,3455
1848,North Carolina,22910
1848,Oregon,NA
1848,Pennsylvania,NA
1848,South Carolina,1963
